stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2038,5117,Tarnów Marszałka,,50.02013,20.99257,,,
1524,2506,Tarnów ul. Krakowska - Ślusarska,,50.00428137,20.96680775,,,
1525,2504,Tarnów ul. Krakowska - Warsztatowa,,50.00204552,20.9617299,,,
1526,2502,Tarnów ul. Krakowska - Braci Żmudów,,49.99886457,20.95458739,,,
2040,5110,Tarnów Koszycka - Krakowska,,49.99574,20.94748,,,
2041,5054,Koszyce Wielkie - ul. Tarnowska - Maczka,,49.99075,20.94904,,,
2042,5052,Koszyce Wielkie - ul. Tarnowska - Kościół,,49.98554,20.94848,,,
2043,5051,Koszyce Wielkie - ul. Tarnowska - Kędronia,,49.98046,20.94578,,,
2171,5046,Koszyce Wielkie - ul. Kędronia - Remiza,,49.9802,20.94137,,,
2172,5048,Koszyce Wielkie - ul. Kędronia - Sklep,,49.98038,20.93471,,,
2173,5050,Koszyce Wielkie - ul. Stachury - Brzezinki,,49.9781,20.92807,,,
2174,5199,Zgłobice - ul. Topolowa - Miła,,49.97563,20.91661,,,
2175,5197,Zgłobice - ul. Topolowa - Kolorowa,,49.97524,20.91153,,,
2176,5201,Zgłobice - ul. Topolowa - SKR,,49.9746476553231,20.9063413739204,,,
2053,5203,Zgłobice - ul. Zgłobicka - ODR,,49.97659,20.90338,,,
2177,5206,Zgłobice - ul. Zgłobicka - Słoneczna,,49.97275,20.90585,,,
2178,5204,Zgłobice - ul. Zgłobicka - Sklep,,49.96751,20.9108,,,
2179,5041,Koszyce Małe - ul. Wolska - Jałowce,,49.96649,20.91403,,,
2180,5037,Koszyce Małe - ul. Wolska - Dęby,,49.96434,20.91813,,,
2181,5043,Koszyce Małe - ul. Wolska - Klub,,49.96241,20.92444,,,
2182,5045,Koszyce Małe - ul. Wolska,,49.96273,20.93337,,,
2183,5039,Koszyce Małe - ul. Wolska - Główna,,49.96147,20.94054,,,
2184,5034,Koszyce Małe - ul. Główna - Szkoła,,49.96579,20.9456,,,
2185,5031,Koszyce Małe - ul. Główna - Remiza,,49.96918,20.94676,,,
2186,5057,Koszyce Wielkie - ul. Tarnowska - Świerkowa,,49.97464,20.94629,,,
2060,5055,Koszyce Wielkie - ul. Tarnowska - Szklarniowa,,49.98077,20.94598,,,
2061,5053,Koszyce Wielkie - ul. Tarnowska - Kościół,,49.9858,20.9487,,,
2062,5207,Tarnów Koszycka - Chrobrego,,49.9909737322517,20.9491038322449,,,
1643,2501,Tarnów ul. Krakowska - Koszycka,,49.99636335,20.94796149,,,
1644,2503,Tarnów ul. Krakowska - Kąpielowa,,49.9992763,20.95597221,,,
1645,2505,Tarnów ul. Krakowska - Zakładowa,,50.00198694,20.96202357,,,
1646,2507,Tarnów ul. Krakowska - Przemysłowa,,50.0041041,20.96681704,,,
2324,3125,Proszowice P+R Kościuszki,,50.1950365953091,20.2751252511253,,,
2325,3123,Proszowice Parcela,,50.1927849944586,20.2850840385357,,,
2326,3121,Proszowice Mały Rynek,,50.1916613701064,20.2881274794368,,,
2719,3396,Proszowice ul. Kolejowa,,50.1908225223962,20.2966060861897,,,
57,4423,Proszowice Szpital,,50.1862210981289,20.297958701849,,,
58,4424,Proszowice Nowe Bloki,,50.1903804683435,20.3064545989037,,,
59,4350,Jakubowice,,50.18741,20.322467,,,
60,4356,Kowala,,50.176055,20.349215,,,
61,4359,Kowala Grębocin,,50.163916,20.358112,,,
62,4362,Szpitary,,50.157098,20.360123,,,
63,4364,Szpitary I,,50.153588,20.362529,,,
64,4365,Szpitary II,,50.14583,20.363824,,,
65,4368,Nowe Brzesko (Partyzantów),,50.130893,20.372378,,,
66,4369,Nowe Brzesko Rynek,,50.132134,20.376837,,,
2818,3519,Nowe Brzesko-Nękanowice I,,50.12569036,20.36670066,,,
2819,3518,Nowe Brzesko-Nękanowice II,,50.12238736,20.35912006,,,
2820,3515,Wawrzeńczyce III,,50.11728222,20.3403602,,,
2821,3514,Wawrzeńczyce II,,50.11491305,20.3325876,,,
2822,3512,Wawrzeńczyce I,,50.1121369,20.32345538,,,
2823,3510,Wawrzeńczyce,,50.10895781,20.31299108,,,
2336,3102,Wawrzeńczyce UG,,50.1065953442449,20.2950063816616,,,
